PMID	Type	Abstract	Keywords	Journal	Rank	Title	Date	Organism	Score	Language	Country	Authors
27432171	Journal Article	To report the experience of our center with the use of adalimumab (ADA) for the treatment of severe refractory noninfectious paediatric uveitis. The study is a retrospective case series of all paediatric patients with refractory uveitis who were treated with ADA at the Paediatric Uveitis Unit of our center from 2008 to 2015. We present 12 patients (6 Juvenile idiopathic arthritis-associated uveitis, 4 idiopathic panuveitis, 1 early-onset sarcoidosis-associated panuveitis, and 1 intermediate uveitis), with uveitis in 19/24 eyes. Once ADA therapy was started, all the patients presented improved activity according to Standardization of Uveitis Nomenclature (SUN) criteria. Nine out of the 12 patients had structural damage before ADA could be started: cataract (n = 4), glaucoma (n = 2), cystic macular edema (n = 1), exudative retinal detachment (n = 1), and optic disk edema (n = 5). Visual acuity improved or maintained stable in 17/19 affected eyes, and only 2 eyes decreased its visual acuity because of structural damage, which was already present before ADA therapy. In our experience, ADA presents a good safety profile and is efficacious in the treatment of paediatric patients with different forms of refractory noninfectious uveitis.	[[\&#39;Adalimumab\&#39;, \&#39;Antitumour necrosis factor α\&#39;, \&#39;Juvenile idiopathic arthritis\&#39;, \&#39;Noninfectious uveitis\&#39;, \&#39;Paediatric uveitis\&#39;, \&#39;Uveitis\&#39;]]	International ophthalmology	4.Bronze	Adalimumab for the treatment of refractory noninfectious paediatric uveitis.	18/07/2016	Section of Paediatric Ophthalmology, Hospital Universitario 12 de Octubre, Avenida de Córdoba s/n, 28041, Madrid, Spain. amunozg@salud.madrid.org.	0.0	[\&#39;eng\&#39;]	Netherlands	Muñoz-Gallego A, Barral E, Enríquez E, Tejada P, Barceló A, de Inocencio J
20131262	Clinical Trial, Phase I	We undertook this study to evaluate safety, tolerability, pharmacokinetics, pharmacodynamics, and efficacy of LY2439821, a humanized anti-interleukin-17 (anti-IL-17) monoclonal antibody, in a first in-human trial in rheumatoid arthritis (RA) patients taking oral disease-modifying antirheumatic drugs (DMARDs). This randomized, double-blind, placebo-controlled study consisted of 2 parts. In part A, 20 patients received 1 intravenous (IV) dose of LY2439821 (0.06, 0.2, 0.6, or 2.0 mg/kg, escalating) or placebo followed by 8 weeks of evaluation. End points included safety, tolerability, and pharmacokinetics. In part B, 77 patients received 1 IV dose of LY2439821 (0.2, 0.6, or 2.0 mg/kg) or placebo every 2 weeks for a total of 5 doses, with a total evaluation period of 16 weeks. End points included safety, tolerability, pharmacokinetics/pharmacodynamics, and efficacy (Disease Activity Score in 28 joints [DAS28] and percentages of patients meeting American College of Rheumatology 20%, 50%, or 70% improvement criteria [achieving an ACR20, ACR50, or ACR70 response]). The primary efficacy end point was the DAS28 at week 10. Baseline characteristics were similar across all groups. Changes in the DAS28 were significantly greater in the 0.2 mg/kg, 2.0 mg/kg, and all-LY2439821-combined groups (-2.3, -2.4, and -2.3, respectively) than in the placebo group (-1.7) at week 10 (P &lt; or = 0.05), and these differences were significant as early as week 1. Percentages of ACR20, ACR50, and ACR70 responses as well as improvements in the ACR core set of measures were greater in LY2439821-treated patients than in placebo-treated patients at multiple time points. There was no apparent dose-response relationship in treatment-emergent adverse events. LY2439821 added to oral DMARDs improved signs and symptoms of RA, with no strong adverse safety signal noted. This first evaluation of LY2439821 supports neutralization of IL-17 as a potential novel goal for the treatment of RA.	NA	Arthritis and rheumatism	4.Bronze	LY2439821, a humanized anti-interleukin-17 monoclonal antibody, in the treatment of patients with rheumatoid arthritis: A phase I randomized, double-blind, placebo-controlled, proof-of-concept study.	2010	Stanford University, Palo Alto, California 94304, USA. genovese@stanford	0.0	[\&#39;eng\&#39;]	United States	Genovese MC, Van den Bosch F, Roberson SA, Bojin S, Biagini IM, Ryan P, Sloan-Lancaster J
28880697	Journal Article	To determine the tentative diagnostic criteria and disease severity classification for Castleman disease (CD) and describe the clinical and pathologic features among human herpesvirus 8 (HHV-8) negative idiopathic multicentric CD (iMCD) in the Japanese population. We established the working groups for the research of CD in Japan and had meetings to discuss and define the tentative diagnostic criteria and disease severity classification for CD. We subsequently analyzed 142 patients classified into iMCD by using the nationwide Japanese patient registry. We proposed the preliminary diagnostic criteria and disease severity classification for CD based on our discussion. In addition, we made a proposal for the disease activity score. We identified clinical and pathological features of patients with iMCD diagnosed by these diagnostic criteria. In the disease severity classification, 37, 33 and 30% patients were categorized into mild, moderate and severe diseases, respectively. This is the first proposal for diagnosis and classification of CD by the Japanese group. Further studies are required to validate whether they can distinguish CD from other inflammatory diseases and to determine their sensitivity and specificity.	[[\&#39;Castleman disease\&#39;, \&#39;TAFRO syndrome\&#39;, \&#39;diagnostic criteria\&#39;, \&#39;disease severity classification\&#39;, \&#39;idiopathic multicentric Castleman disease\&#39;]]	Modern rheumatology	4.Bronze	Tentative diagnostic criteria and disease severity classification for Castleman disease: A report of the research group on Castleman disease in Japan.	07/09/2017	a Division of Hematology and Immunology, Medicine , Kanazawa Medical University , Ishikawa , Japan.	0.0	[\&#39;eng\&#39;]	United States	Fujimoto S, Koga T, Kawakami A, Kawabata H, Okamoto S, Mizuki M, Yano S, Ide M, Uno K, Yagi K, Kojima T, Mizutani M, Tokumine Y, Nishimoto N, Fujiwara H, Nakatsuka SI, Shiozawa K, Iwaki N, Masaki Y, Yoshizaki K
21922187	Journal Article	This study aims to demonstrate the effect of omega-3 fatty acids (ω-3 FAs) supplements on the clinical manifestations, laboratory investigations, disease activity, functional capacity, response criteria as well as interleukin-1 (IL-1) and tumor necrosis factor-α (TNF-α) levels in juvenile idiopathic arthritis (JIA) patients. Twenty-seven JIA patients were included in this study. Dietary supplements of ω-3 FAs 2 g/day were given for 12 weeks. Juvenile arthritis disease activity score in 27 joints (JADAS-27) and pediatric American College of Rheumatology (ACR) response criteria were determined. Childhood Health Assessment Questionnaire (CHAQ) was used to measure the functional status. Assessment of serum IL-1 and TNF-α level was performed using enzyme-linked immunosorbent assay. The mean age of the patients was 12.78 ± 3.26 years, the disease duration was 5.93 ± 3.06 years, and the age at disease onset was 6.78 ± 3.26 years. The TNF-α and IL-1 were significantly higher in the JIA patients compared to the control. There was a significant improvement of active joint count, number of swollen joints, JADAS-27, CHAQ, TNF-α, and IL-1 levels. The pediatric ACR response criteria improved in 92.59% of the patients. The daily requirements of nonsteroidal anti-inflammatory drugs (NSAIDs) obviously decreased. ω-3 FAs supplements reduce the inflammatory response and improve the clinical manifestation in JIA patient. The daily intake of NSAID dose decreased thus reducing the risk of related side effects. Our results support the use of omega-3 fatty acids as an add-on therapy to conventional treatment of JIA.	NA	Clinical rheumatology	4.Bronze	Omega-3 fatty acids in juvenile idiopathic arthritis: effect on cytokines (IL-1 and TNF-α), disease activity and response criteria.	16/09/2011	Rheumatology Department, Faculty of Medicine, Cairo University, Giza, Egypt. gheitamer@hotmail.com	0.0	[\&#39;eng\&#39;]	Germany	Gheita T, Kamel S, Helmy N, El-Laithy N, Monir A
25935351	Journal Article	Depression is more common among individuals with chronic physical illness than in the general population. New treatments for severe and chronic inflammatory conditions which inhibit tumour necrosis factor alpha (TNF-α), a pro-inflammatory cytokine, may be able to shed some light on the role of inflammatory mediators in depression. This systematic review and meta-analysis of randomised controlled trials determined the effects of TNF-α inhibitor therapy on depression and anxiety in people with chronic physical illness. Seven databases were searched from inception to January 2014: AMED, Central, Cochrane Database of Systematic Reviews, CINAHL, Embase, MEDLINE, and PsycINFO. Articles were screened for inclusion independently by two reviewers. Data extraction and appraisal were conducted by one reviewer and checked by a second. Random-effects meta-analyses were performed. Six randomised controlled trials (reported in seven articles) met eligibility criteria and were included in the final review. In total 2540 participants were enrolled across the trials, with participants presenting with rheumatoid arthritis (n=3 trials), psoriasis (n=2) or ankylosing spondylitis (n=1). Meta-analyses, using standardised mean differences, showed evidence of small reductions in depression (-0.24; 95% CI -0.33 to -0.14; p&lt;0.001), and anxiety (-0.17; 95% CI -0.31 to -0.02; p=0.02). TNF-α inhibitor therapy reduces depression in people with chronic disease though the effects are small. Whilst this is consistent with inflammation contributing to the development of depression, further studies investigating a more detailed timeline of changes in depression, inflammatory biomarkers and disease activity status are required.	[[\&#39;Chronic disease\&#39;, \&#39;Depression\&#39;, \&#39;Inflammation\&#39;, \&#39;Systematic review\&#39;, \&#39;TNF-α inhibitor\&#39;]]	Journal of psychosomatic research	4.Bronze	Tumour necrosis factor-α inhibitor therapy in chronic physical illness: A systematic review and meta-analysis of the effect on depression and anxiety.	23/04/2015	PenCLAHRC, University of Exeter Medical School, St. Luke\&#39;s Campus, Exeter EX1 2LU, United Kingdom. Electronic address: r.a.abbott@exeter.ac.uk.	0.0	[\&#39;eng\&#39;]	England	Abbott R, Whear R, Nikolaou V, Bethel A, Coon JT, Stein K, Dickens C
29452298	Journal Article	IgG4-related disease (IgG4-RD) is an autoimmune disease triggering an inflammatory cascade that leads to fibrosis. Outcome measures are limited and treatment options remain underexplored. To assess the variation of the IgG4 responder index (IgG4-RI) in a cohort of IgG4-RD patients and to explore their treatments and outcomes. We studied the clinical phenotype, severity of the disease and response to treatment in an ambispective multicenter cohort study including 14 different hospitals in Spain. All patients met the 2012 international consensus on pathology criteria for diagnosis. Sixty-eight patients were included, with a mean age of 53.4 years and predominance of male sex. The most commonly involved tissues were: retroperitoneum (33%), orbital pseudotumor (28%) and maxillary and paranasal sinuses (24%). IgG4-RI values were higher in patients with multiorgan disease and before treatment. After being treated, IgG4-RI values were lower, in accordance with the high rates of treatment response. Most patients received: glucocorticoids (GC), surgery, azathioprine (AZA), mofetil mycophenolate or rituximab. GC alone, GC plus surgery and GC plus AZA were given in the most of the IgG4-RD disease activity episodes. All treatments had high response rates but relapses and flares were common. IgG4-RI is a promising outcome measure in IgG4-RD, but still in development. Treatment algorithms are ill defined. GC and rituximab are the drugs with more evidence available. Disease modifying anti-rheumatic drugs may have a role in IgG4-RD and warrant more prospective studies.	[[\&#39;IgG4-related disease\&#39;, \&#39;Outcomes\&#39;, \&#39;Treatment\&#39;]]	Joint, bone, spine : revue du rhumatisme	4.Bronze	Treatment and outcomes in patients with IgG4-related disease using the IgG4 responder index.	13/02/2018	Internal medicine department hospital universitari Vall d\&#39;Hebron, 08035 Barcelona, Spain; Rheumatology division, department of medicine, university of Western Ontario, London, N6A 4V2 ON, Canada.	0.0	[\&#39;eng\&#39;]	France	Fernández-Codina A, Pinilla B, Pinal-Fernández I, López C, Fraile-Rodríguez G, Fonseca-Aizpuru E, Carballo I, Brito-Zerón P, Feijóo-Massó C, López-Dupla M, Cid MC, Martínez-Valle F
26947438	Journal Article	To discuss current terminology and the regulatory standards and processes involved in the development of biosimilars. An Internet-based literature search through April 2015 was performed for information related to biosimilars in chronic inflammatory disorders. Keywords were as follows: biosimilar, development, manufacturing, characterization, structural, functional, preclinical, clinical, immunogenicity, rheumatoid arthritis, juvenile idiopathic arthritis, psoriasis, psoriatic arthritis, Crohn׳s disease, ulcerative colitis, and ankylosing spondylitis. The European Medicines Agency (EMA) and US Food and Drug Administration (FDA) websites were searched for guidelines and information related to biosimilars. Biosimilars are products that are highly similar to the reference product regarding quality, biological activity, safety, and efficacy. Biosimilars are biological products and not generic drugs and, thus, do not follow the same regulatory pathways as generic molecules. Rigorous early-stage structural, functional, and analytical testing, followed by nonclinical and clinical analyses comparing a biosimilar with its reference product, are required to demonstrate biosimilarity in regulatory markets worldwide. The addition of biosimilars to the market has the potential to improve access to biologic therapies. Many regulatory agencies have enacted stringent pathways, which must be followed for a biosimilar to be labeled and approved as such; following the pathways will help protect and maintain the integrity, quality, and safety of the biosimilar product.	[[\&#39;Biologic\&#39;, \&#39;Biosimilar\&#39;, \&#39;Biosimilarity\&#39;, \&#39;Chronic inflammatory diseases\&#39;, \&#39;Development\&#39;, \&#39;Generics\&#39;, \&#39;Innovator\&#39;, \&#39;Nomenclature\&#39;, \&#39;Reference product\&#39;, \&#39;Regulatory guidance\&#39;, \&#39;Regulatory pathways\&#39;, \&#39;Small-molecule drugs\&#39;]]	Seminars in arthritis and rheumatism	4.Bronze	Biosimilars: Rationale and current regulatory landscape.	21/01/2016	Department of Internal Medicine, University of Nevada School of Medicine, 1707 W Charleston Boulevard, Suite 220, Las Vegas, NV 89102. Electronic address: eolech@unr.edu.	0.0	[\&#39;eng\&#39;]	United States	Olech E
17983157	Journal Article	In the last decade, the analysis of gene expression in tissues and cells has evolved from the analysis of a selected set of genes to an efficient high throughput whole-genome screening approach of potentially all genes expressed. Development of sophisticated methodologies such as microarray technology allows an open-ended survey to identify comprehensively the fraction of genes that are differentially expressed between samples and that define the samples\&#39; unique biology. By a global analysis of the genes that are expressed in cells and tissues of an individual under different conditions and during disease, we can build up \&quot;gene expression profiles (signatures)\&quot; which characterize the dynamic functioning of the genome under pathophysiological conditions. This strategy also provides the means to subdivide patients that suffer from a complex heterogeneous disease into more homogeneous subgroups. Such discovery-based research identifies biological processes that may include new genes with unknown function or genes not previously known to be involved in this process. The latter category may hold surprises that sometimes urge us to redirect our thinking. We have used microarrays to disclose the heterogeneity of rheumatoid arthritis (RA) patients at the level of gene expression of the affected synovial tissues. Analysis of the expression profiles of synovial tissues from different patients with RA revealed considerable variability, resulting in the identification of at least two molecularly distinct forms of RA tissues. One is characterized by genes that indicate an active inflammatory infiltrate with high immunoglobulin production, whereas the other type shows little immune activation and instead shows a higher stromal cell activity. These results confirm the heterogeneous nature of RA and suggest the existence of distinct pathogenic mechanisms that contribute to RA. The differences in expression profiles provide opportunities to stratify patients for intervention therapies based on molecular criteria.	NA	Methods in molecular medicine	4.Bronze	Gene expression profiling in rheumatology.	2007	Department of Molecular Cell Biology and Immunology, VU Medical Centre, Amsterdam, The Netherlands.	0.0	[\&#39;eng\&#39;]	United States	van der Pouw Kraan TC, van Baarsen LG, Rustenburg F, Baltus B, Fero M, Verweij CL
24762839	Journal Article	Data on the relationship between osteoporosis and osteoarthritis are conflicting. Most studies report \&quot;snapshot\&quot; prevalences, and there are few studies evaluating localized knee bone mineral density (BMD) measurements with respect to subsequent osteoarthritis progression. The authors hypothesize that increased mediolateral difference of the proximal tibial BMD may predict progression of knee osteoarthritis. In this study, 246 female volunteers were followed up prospectively over 2 years. Baseline BMD measurements of bilateral proximal (subchondral) tibiae were performed, and the mediolateral BMD ratio was calculated. Precision studies were performed on healthy volunteers to validate the technique. The patients were divided into osteoarthritis progressors and non-progressors based on Kellgren-Lawrence radiographic criteria at 2-year follow-up. Patients who were taking bisphosphonates or who had a history of inflammatory, infectious, or metabolic bone disease and previous hip and knee surgery were excluded. Demographic data, calcium supplementation, physical activity, baseline knee radiographs, and radiographs at 2-year follow-up were obtained. The study was adequately powered to detect an effect size of 0.4. There were 121 progressors and 125 non-progressors. Mean mediolateral BMD ratio was 1.02 among the progressors and 1.01 among the non-progressors (t=0.632, P=.528). Potential confounders were equally distributed among both groups. The data suggest that there is no link between proximal tibial BMD ratio and progression of knee osteoarthritis. 	NA	Orthopedics	4.Bronze	Mediolateral subchondral tibial bone mineral density difference does not predict osteoarthritis progression.	2014	NA	0.0	[\&#39;eng\&#39;]	United States	Tat LC, Singh G, Jonathan SB, Leng LS, Liang S, Awiszus F, Lohmann CH, De SD
21149498	Journal Article	To identify predictors of response to methotrexate (MTX) in early rheumatoid arthritis (RA). In the SWEFOT trial, patients with RA with symptom duration &lt;1 year started MTX monotherapy (20 mg/weekly) and 405/487 continued until the 3-4- month visit. The primary outcome measure was the DAS28-based European League against Rheumatism (EULAR) response criteria. Multivariate logistic regression was used to study the association between response and the following baseline characteristics: gender, age, symptom duration, cigarette smoking habits, autoantibody status, Health Assessment Questionnaire (HAQ) score, concurrent prednisolone and treatment with non-steroidal anti-inflammatory drugs. Secondary response and remission measures were the American College of Rheumatology and the Simple Disease Activity Index and Clinical Disease Activity Index (SDAI/CDAI)-derived criteria. After 3-4 months of MTX treatment, the frequency of EULAR good/moderate/no response was 34%/41%/25%, respectively. Parameters associated with a decreased likelihood of EULAR response were female gender (adjusted OR (adj OR) 0.50, 95% CI 0.31 to 0.81), symptom duration (adj OR per month increase 0.93, 95% CI 0.88 to 0.99), current smoking (adj OR 0.35, 95% CI 0.20 to 0.63) and higher HAQ (adj OR 0.56, 95% CI 0.40 to 0.80). Parameters associated with an increased likelihood of EULAR response were higher age (adj OR per 10-year increase 1.30, 95% CI 1.11 to 1.51) and prednisolone treatment (adj OR 2.84, 95% CI 1.43 to 5.63). The findings were similar when patients on prednisolone were excluded and other response criteria tested, although current smoking was the only significant predictor using all response criteria, while HAQ was the only significant predictor of all the remission criteria used. A matrix showed up to ninefold differences between subgroups stratified by the main predictors. Current smoking, female sex, longer symptom duration and younger age predict a worse response to MTX in patients with new-onset RA. TrialRegNo NCT00764725.	NA	Annals of the rheumatic diseases	4.Bronze	Predictors of response to methotrexate in early DMARD naive rheumatoid arthritis: results from the initial open-label phase of the SWEFOT trial.	13/12/2010	Rheumatology Unit, Department of Medicine, Karolinska University Hospital, 17176 Stockholm, Sweden. saedis.saevarsdottir@karolinska.se	0.0	[\&#39;eng\&#39;]	England	Saevarsdottir S, Wallin H, Seddighzadeh M, Ernestam S, Geborek P, Petersson IF, Bratt J, van Vollenhoven RF
